value,description
CW184,P342 - If experiencing respiratory symptoms: P310 - Immediately call a POISON CENTER or doctor/physician.
CW185,P342 - If experiencing respiratory symptoms: P311 - Call a POISON CENTER or doctor/physician.
CW186,P342 - If experiencing respiratory symptoms: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW187,P342 - If experiencing respiratory symptoms: P313 - Get medical advice/attention.
CW188,P342 - If experiencing respiratory symptoms: P314 - Get medical advice/attention if you feel unwell.
CW189,P342 - If experiencing respiratory symptoms: P315 - Get immediate medical advice/attention.
CW190,P342 - If experiencing respiratory symptoms: P320 - Specific treatment is urgent (see on this label).
CW191,P342 - If experiencing respiratory symptoms: P321 - Specific treatment (see on this label).
CW192,P342 - If experiencing respiratory symptoms: P322 - Specific measures (see on this label).
CW193,P301 - IF SWALLOWED: P330 - Rinse mouth.
CW194,P301 - IF SWALLOWED: P331 - Do NOT induce vomiting.
CW195,P332 - If skin irritation occurs: P322 - Specific measures (see on this label).
CW196,P333 - If skin irritation or rash occurs: P322 - Specific measures (see on this label).
CW197,P332 - If skin irritation occurs: P334 - Immerse in cool water/wrap in wet bandages.
CW198,P332 - If skin irritation occurs: P335 - Brush off loose particles from skin.
CW199,P332 - If skin irritation occurs: P336 - Thaw frosted parts with lukewarm water. Do no rub affected area.
CW201,"P337 - If eye irritation persists: P338 - Remove contact lenses, if present and easy to do. Continue rinsing."
CW202,P342 - If experiencing respiratory symptoms: P340 - Remove victim to fresh air and keep at rest in a position comfortable for breathing.
CW203,"P341 - If breathing is difficult, remove victim to fresh air and keep at rest in a position comfortable for breathing."
CW206,P333 - If skin irritation or rash occurs: P350 - Gently wash with plenty of soap and water.
CW207,P337 - If eye irritation persists: P351 - Rinse cautiously with water for several minutes.
CW208,P333 - If skin irritation or rash occurs: P352 - Wash with plenty of soap and water.
CW209,P333 - If skin irritation or rash occurs: P353 - Rinse skin with water/shower.
CW210,P333 - If skin irritation or rash occurs: P360 - Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
CW211,P333 - If skin irritation or rash occurs: P361 - Remove/Take off immediately all contaminated clothing.
CW212,P333 - If skin irritation or rash occurs: P362 - Take off contaminated clothing and wash before reuse.
CW213,P333 - If skin irritation or rash occurs: P363 - Wash contaminated clothing before reuse.
CW216,P372 - Explosion risk in case of fire.
CW217,P373 - DO NOT fight fire when fire reaches explosives.
CW218,P370 - In case of fire: P374 - Fight fire with normal precautions from a reasonable distance.
CW219,P370 - In case of fire: P375 - Fight fire remotely due to the risk of explosion.
CW220,P376 - Stop leak if safe to do so.
CW221,"P377 - Leaking gas fire: Do not extinguish, unless leak can be stopped safely."
CW223,P370 - In case of fire: P380 - Evacuate area.
CW224,P370 - In case of fire: P381 - Eliminate all ignition sources if safe to do so.
CW225,P390 - Absorb spillage to prevent material damage.
CW226,P391 - Collect spillage.
CW254,Do not Use Tap Water
CW255,Do Not use saliva
CW257,Warning; Crushing of hands
CW258,Warning; Hot surface
CW259,Warning; Electricity
CW260,Warning; Counterrotating rollers
CW261,Warning; Optical radiation
CW262,Single patient multiple use
CW263,Contains human blood or plasma derivatives
CW264,Contains a medicinal substance
CW265,Contains hazardous substances
CW266,Contains biological material of human origin
CW267,Contains biological material of animal origin
CW268,H229 Pressurized container: may burst if heated
CW269,H230 May react explosively even in the absence of air
CW270,H231 May react explosively even in the absence of air at elevated pressure and/or temperature
CW271,H420 Harms public health and the environment by destroying ozone in the upper atmosphere
CW272,P364 And wash it before reuse.
CW273,"Caution, risk of electric shock"
CW274,Non-ionizing electromagnetic radiation
CW275,Ask your pharmacist or doctor for advice before using or taking the product (e.g. if pregnant or breastfeeding)
CW276,"Potential Interactions with other products (e.g. medicines, food)"
CW277,"If any symptoms are troublesome or last more than a few days or if you notice any side effects not mentioned, please inform your doctor or pharmacist"
CW278,Avoid contact with non-sterile water
CW279,P337 - If eye irritation persists: P310 - Immediately call a POISON CENTER or doctor/physician.
CW280,P332 - If skin irritation occurs: P310 - Immediately call a POISON CENTER or doctor/physician.
CW281,P333 - If skin irritation or rash occurs: P310 - Immediately call a POISON CENTER or doctor/physician.
CW282,P337 - If eye irritation persists: P311 - Call a POISON CENTER or doctor/physician.
CW283,P332 - If skin irritation occurs: P311 - Call a POISON CENTER or doctor/physician.
CW284,P333 - If skin irritation or rash occurs: P311 - Call a POISON CENTER or doctor/physician.
CW285,P301 - IF SWALLOWED: P311 - Call a POISON CENTER or doctor/physician.
CW286,P302 - IF ON SKIN: P311 - Call a POISON CENTER or doctor/physician.
CW287,P303 - IF ON SKIN (or hair): P311 - Call a POISON CENTER or doctor/physician.
CW288,P304 - IF INHALED: P311 - Call a POISON CENTER or doctor/physician.
CW289,P305 - IF IN EYES: P311 - Call a POISON CENTER or doctor/physician.
CW290,P307 - IF exposed: P311 - Call a POISON CENTER or doctor/physician.
CW291,P308 - IF exposed or concerned: P311 - Call a POISON CENTER or doctor/physician.
CW292,P309 - IF exposed or if you feel unwell: P311 - Call a POISON CENTER or doctor/physician.
CW293,P337 - If eye irritation persists: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW294,P332 - If skin irritation occurs: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW295,P333 - If skin irritation or rash occurs: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW296,P301 - IF SWALLOWED: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW297,P302 - IF ON SKIN: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW298,P303 - IF ON SKIN (or hair): P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW299,P304 - IF INHALED: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW300,P305 - IF IN EYES: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW301,P307 - IF exposed: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW302,P308 - IF exposed or concerned: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW303,P309 - IF exposed or if you feel unwell: P312 - Call a POISON CENTER or doctor/physician if you feel unwell.
CW304,P337 - If eye irritation persists: P313 - Get medical advice/attention.
CW305,P332 - If skin irritation occurs: P313 - Get medical advice/attention.
CW306,P333 - If skin irritation or rash occurs: P313 - Get medical advice/attention.
CW307,P301 - IF SWALLOWED: P313 - Get medical advice/attention.
CW308,P302 - IF ON SKIN: P313 - Get medical advice/attention.
CW309,P303 - IF ON SKIN (or hair): P313 - Get medical advice/attention.
CW310,P304 - IF INHALED: P313 - Get medical advice/attention.
CW311,P305 - IF IN EYES: P313 - Get medical advice/attention.
CW312,P307 - IF exposed: P313 - Get medical advice/attention.
CW313,P308 - IF exposed or concerned: P313 - Get medical advice/attention.
CW314,P309 - IF exposed or if you feel unwell: P313 - Get medical advice/attention.
CW315,P337 - If eye irritation persists: P314 - Get medical advice/attention if you feel unwell.
CW316,P332 - If skin irritation occurs: P314 - Get medical advice/attention if you feel unwell.
CW317,P333 - If skin irritation or rash occurs: P314 - Get medical advice/attention if you feel unwell.
CW318,P301 - IF SWALLOWED: P314 - Get medical advice/attention if you feel unwell.
CW319,P302 - IF ON SKIN: P314 - Get medical advice/attention if you feel unwell.
CW320,P303 - IF ON SKIN (or hair): P314 - Get medical advice/attention if you feel unwell.
CW321,P304 - IF INHALED: P314 - Get medical advice/attention if you feel unwell.
CW322,P305 - IF IN EYES: P314 - Get medical advice/attention if you feel unwell.
CW323,P306 - IF ON CLOTHING: P314 - Get medical advice/attention if you feel unwell.
CW324,P307 - IF exposed: P314 - Get medical advice/attention if you feel unwell.
CW325,P308 - IF exposed or concerned: P314 - Get medical advice/attention if you feel unwell.
CW326,P309 - IF exposed or if you feel unwell: P314 - Get medical advice/attention if you feel unwell.
CW327,P337 - If eye irritation persists: P315 - Get immediate medical advice/attention.
CW328,P332 - If skin irritation occurs: P315 - Get immediate medical advice/attention.
CW329,P333 - If skin irritation or rash occurs: P315 - Get immediate medical advice/attention.
CW330,P301 - IF SWALLOWED: P315 - Get immediate medical advice/attention.
CW331,P302 - IF ON SKIN: P315 - Get immediate medical advice/attention.
CW332,P303 - IF ON SKIN (or hair): P315 - Get immediate medical advice/attention.
CW333,P304 - IF INHALED: P315 - Get immediate medical advice/attention.
CW334,P305 - IF IN EYES: P315 - Get immediate medical advice/attention.
CW335,P307 - IF exposed: P315 - Get immediate medical advice/attention.
CW336,P308 - IF exposed or concerned: P315 - Get immediate medical advice/attention.
CW337,P309 - IF exposed or if you feel unwell: P315 - Get immediate medical advice/attention.
CW338,P337 - If eye irritation persists: P320 - Specific treatment is urgent (see on this label).
CW339,P332 - If skin irritation occurs: P320 - Specific treatment is urgent (see on this label).
CW340,P333 - If skin irritation or rash occurs: P320 - Specific treatment is urgent (see on this label).
CW341,P301 - IF SWALLOWED: P320 - Specific treatment is urgent (see on this label).
CW342,P302 - IF ON SKIN: P320 - Specific treatment is urgent (see on this label).
CW343,P303 - IF ON SKIN (or hair): P320 - Specific treatment is urgent (see on this label).
CW344,P304 - IF INHALED: P320 - Specific treatment is urgent (see on this label).
CW345,P305 - IF IN EYES: P320 - Specific treatment is urgent (see on this label).
CW346,P306 - IF ON CLOTHING: P320 - Specific treatment is urgent (see on this label).
CW347,P307 - IF exposed: P320 - Specific treatment is urgent (see on this label).
CW348,P308 - IF exposed or concerned: P320 - Specific treatment is urgent (see on this label).
CW349,P309 - IF exposed or if you feel unwell: P320 - Specific treatment is urgent (see on this label).
CW350,P337 - If eye irritation persists: P321 - Specific treatment (see on this label).
CW351,P332 - If skin irritation occurs: P321 - Specific treatment (see on this label).
CW352,P333 - If skin irritation or rash occurs: P321 - Specific treatment (see on this label).
CW353,P301 - IF SWALLOWED: P321 - Specific treatment (see on this label).
CW354,P302 - IF ON SKIN: P321 - Specific treatment (see on this label).
CW355,P303 - IF ON SKIN (or hair): P321 - Specific treatment (see on this label).
CW356,P304 - IF INHALED: P321 - Specific treatment (see on this label).
CW357,P305 - IF IN EYES: P321 - Specific treatment (see on this label).
CW358,P306 - IF ON CLOTHING: P321 - Specific treatment (see on this label).
CW359,P307 - IF exposed: P321 - Specific treatment (see on this label).
CW360,P308 - IF exposed or concerned: P321 - Specific treatment (see on this label).
CW361,P309 - IF exposed or if you feel unwell: P321 - Specific treatment (see on this label).
CW362,P337 - If eye irritation persists: P322 - Specific measures (see on this label).
CW363,P301 - IF SWALLOWED: P322 - Specific measures (see on this label).
CW364,P302 - IF ON SKIN: P322 - Specific measures (see on this label).
CW365,P303 - IF ON SKIN (or hair): P322 - Specific measures (see on this label).
CW366,P304 - IF INHALED: P322 - Specific measures (see on this label).
CW367,P305 - IF IN EYES: P322 - Specific measures (see on this label).
CW368,P306 - IF ON CLOTHING: P322 - Specific measures (see on this label).
CW369,P307 - IF exposed: P322 - Specific measures (see on this label).
CW370,P308 - IF exposed or concerned: P322 - Specific measures (see on this label).
CW371,P309 - IF exposed or if you feel unwell: P322 - Specific measures (see on this label).
CW372,P307 - IF exposed: P330 - Rinse mouth.
CW373,P308 - IF exposed or concerned: P330 - Rinse mouth.
CW374,P309 - IF exposed or if you feel unwell: P330 - Rinse mouth.
CW375,P307 - IF exposed: P331 - Do NOT induce vomiting.
CW376,P308 - IF exposed or concerned: P331 - Do NOT induce vomiting.
CW377,P309 - IF exposed or if you feel unwell: P331 - Do NOT induce vomiting.
CW378,P333 - If skin irritation occurs or rash occurs: P334 - Immerse in cool water/wrap in wet bandages.
